"","title","author","subject","abstract","meta"
"1","The Architecture of Sponge Choanocyte Chambers Maximizes Mechanical Pumping Efficiency","Takumi Ogawa, Shuji Koyama, Toshihiro Omori, Kenji Kikuchi, Helene de Maleprade, Raymond E. Goldstein, Takuji Ishikawa","Soft Condensed Matter (cond-mat.soft)","Sponges, the basalmost members of the animal kingdom, exhibit a range of complex architectures in which microfluidic channels connect multitudes of spherical chambers lined with choanocytes, flagellated filter-feeding cells. Choanocyte chambers can possess scores or even hundreds of such cells, which drive complex flows entering through porous walls and exiting into the sponge channels. One of the mysteries of the choanocyte chamber is its spherical shape, as it seems inappropriate for inducing directional transport since many choanocyte flagella beat in opposition to such a flow. Here we combine direct imaging of choanocyte chambers in living sponges with computational studies of many-flagella models to understand the connection between chamber architecture and directional flow. We find that those flagella that beat against the flow play a key role in raising the pressure inside the choanocyte chamber, with the result that the mechanical pumping efficiency, calculated from the pressure rise and flow rate, reaches a maximum at a small outlet opening angle. Comparison between experimental observations and the results of numerical simulations reveal that the chamber diameter, flagellar wave number and the outlet opening angle of the freshwater sponge $E. muelleri$, as well as several other species, are related in a manner that maximizes the mechanical pumping efficiency. These results indicate the subtle balances at play during morphogenesis of choanocyte chambers, and give insights into the physiology and body design of sponges.","Thu, 22 Feb 2024 08:05:05 UTC (5,462 KB)"
"2","Fractal scaling and the aesthetics of trees","Jingyi Gao, Mitchell Newberry","Physics and Society (physics.soc-ph)","Trees in works of art have stirred emotions in viewers for millennia. Leonardo da Vinci described geometric proportions in trees to provide both guidelines for painting and insights into tree form and function. Da Vinci's Rule of trees further implies fractal branching with a particular scaling exponent $\alpha = 2$ governing both proportions between the diameters of adjoining boughs and the number of boughs of a given diameter. Contemporary biology increasingly supports an analogous rule with $\alpha = 3$ known as Murray's Law. Here we relate trees in art to a theory of proportion inspired by both da Vinci and modern tree physiology. We measure $\alpha$ in 16th century Islamic architecture, Edo period Japanese painting and 20th century European art, finding $\alpha$ in the range 1.5 to 2.5. We find that both conformity and deviations from ideal branching create stylistic effect and accommodate constraints on design and implementation. Finally, we analyze an abstract tree by Piet Mondrian which forgoes explicit branching but accurately captures the modern scaling exponent $\alpha = 3$, anticipating Murray's Law by 15 years. This perspective extends classical mathematical, biological and artistic ways to understand, recreate and appreciate the beauty of trees.","Wed, 21 Feb 2024 04:09:25 UTC (7,792 KB)"
"3","An SEIR network epidemic model with manual and digital contact tracing allowing delays","Dongni Zhang, Tom Britton","Physics and Society (physics.soc-ph)","We consider an SEIR epidemic model on a network also allowing random contacts, where recovered individuals could either recover naturally or be diagnosed. Upon diagnosis, manual contact tracing is triggered such that each infected network contact is reported, tested and isolated with some probability and after a random delay. Additionally, digital tracing (based on a tracing app) is triggered if the diagnosed individual is an app-user, and then all of its app-using infectees are immediately notified and isolated. The early phase of the epidemic with manual and/or digital tracing is approximated by different multi-type branching processes, and three respective reproduction numbers are derived. The effectiveness of both contact tracing mechanisms is numerically quantified through the reduction of the reproduction number. This shows that app-using fraction plays an essential role in the overall effectiveness of contact tracing. The relative effectiveness of manual tracing compared to digital tracing increases if: more of the transmission occurs on the network, when the tracing delay is shortened, and when the network degree distribution is heavy-tailed. For realistic values, the combined tracing case can reduce $R_0$ by $20-30\%$, so other preventive measures are needed to reduce the reproduction number down to $1.2-1.4$ for contact tracing to make it successful in avoiding big outbreaks.","Tue, 20 Feb 2024 21:45:00 UTC (641 KB)"
"4","Visual acuity and contrast sensitivity under monochromatic yellow light","Elisabetta Baldanzi, Paolo Antonino Grasso, Clara Gori, Massimo Gurioli, Federcio Tommasi, Alessandro Farini","Quantitative Methods (q-bio.QM)","This study investigates the impact of monochromatic lighting on visual acuity (VA) and contrast sensitivity (CS). Traditional assessments of VA and CS are typically conducted under the illumination of ``white'' light, but variations in color temperature can influence outcomes. Utilizing data from an exhibition by Olafur Eliasson, where a room was illuminated with low-pressure sodium lamps, creating an almost monochromatic yellow light, we compared visual assessments in the yellow room with conventional lighting in a white room. For VA, the results show no significant differences between the two lighting conditions, while for CS, a more nuanced situation is observed. The bias in CS measurements is clinically relevant, and the p-value suggests that further investigation with a larger, more diverse sample may be worthwhile. Despite limitations, such as higher illumination conditions than standard protocols, the unique ``laboratory'' offered by the exhibition facilitated measurements not easily achievable in a traditional setting.","Mon, 22 Jan 2024 12:25:08 UTC (1,621 KB)"
"5","Criticality in the Luria-Delbrück model with an arbitrary mutation rate","Deng Pan, Jie Lin, Ariel Amir","Biological Physics (physics.bio-ph)","The Luria-Delbrück model is a classic model of population dynamics with random mutations, that has been used historically to prove that random mutations drive evolution. In typical scenarios, the relevant mutation rate is exceedingly small, and mutants are counted only at the final time point. Here, inspired by recent experiments on DNA repair, we study a mathematical model that is formally equivalent to the Luria-Delbrück setup, with the repair rate $p$ playing the role of mutation rate, albeit taking on large values, of order unity per cell division. We find that although at large times the fraction of repaired cells approaches one, the variance of the number of repaired cells undergoes a phase transition: when $p>1/2$ the variance decreases with time, but, intriguingly, for $p<1/2$ even though the fraction of repaired cells approaches 1, the variance in number of repaired cells increases with time. Analyzing DNA-repair experiments, we find that in order to explain the data the model should also take into account the probability of a successful repair process once it is initiated. Taken together, our work shows how the study of variability can lead to surprising phase-transitions as well as provide biological insights into the process of DNA-repair.","Tue, 20 Feb 2024 19:35:40 UTC (3,556 KB)"
"6","Magnetic Nanoparticles for Neural Engineering","Gerardo F. Goya, Vittoria Raffa","Neurons and Cognition (q-bio.NC)","Magnetic nanoparticles (MNPs) are the foundation of several new strategies for neural repair and neurological therapies. The fact that a remote force can act on MNPs at the cytoplasmic space constitutes the essence of many new neurotherapeutic concepts. MNPs with a predesigned physicochemical characteristic can interact with external magnetic fields to apply mechanical forces in definite areas of the cell to modulate cellular behaviour. Magnetic actuation to direct the outgrowth on neurons after nerve injury has already demonstrated the therapeutic potential for neural repair. When these magnetic cores are functionalized with molecules such as nerve growth factors or neuroprotective molecules, multifunctional devices can be developed. This chapter will review some of these new nanotechnology-based solutions for neurological diseases, specifically those based on the use of engineered MNPs used for neuroprotection and neuroregeneration. These include the use of MNPs as magnetic actuators to guide neural cells, modulate intracellular transport and stimulate axonal growth after nerve injury.","Mon, 5 Feb 2024 08:38:41 UTC (3,836 KB)"
"7","Interferometry with few photons","Q. Pears Stefano, A. G. Magnoni, D. Rodrigues, J. Tiffenberg, C. Iemmi","Quantum Physics (quant-ph)","Optical phase determination is an important and established tool in diverse fields such as astronomy, biology, or quantum optics. There is increasing interest in using a lower number of total photons. However, different noise sources, such as electronic readout noise in the detector, and shot noise, hamper the phase estimation in regimes of very low illumination. Here we report a study on how the quality of phase determination is affected by these two sources of noise. To that end, we experimentally reconstruct different wavefronts by means of a point diffraction interferometer for different mean intensities of illumination, up to $15\ \mathrm{phot/px}$. Our interferometer features a Skipper-CCD sensor, which allows us to reduce the readout noise arbitrarily, thus enabling us to separate the effect of these two sources of noise. For two cases of interest: a spatial qudit encoding phase, consisting of d = 6 uniform phase regions, and a more general continuous phase, we see that reducing the readout noise leads to a clear improvement in the quality of reconstruction. This can be explained by a simple noise model that allows us to predict the expected fidelity of reconstruction and shows excellent agreement with the measurements.","Tue, 20 Feb 2024 17:21:06 UTC (573 KB)"
"8","Data Repository of Finite Element Models of Normal and Deformed Thoracolumbar Spine","Morteza Rasouligandomani, Alex del Arco, Francis Kiptengwer Chemorion, Marc-Antonio Bisotti, Fabio Galbusera, Jerome Noailly, Miguel Angel Gonzalez Ballester","Biological Physics (physics.bio-ph)","Adult spine deformity (ASD) is prevalent and leads to a sagittal misalignment in the vertebral column. Computational methods, including Finite Element (FE) Models, have emerged as valuable tools for investigating the causes and treatment of ASD through biomechanical simulations. However, the process of generating personalized FE models is often complex and time-consuming. To address this challenge, we present a repository of FE models with diverse spine morphologies that statistically represent real geometries from a cohort of patients. These models are generated using EOS images, which are utilized to reconstruct 3D surface spine models. Subsequently, a Statistical Shape Model (SSM) is constructed, enabling the adaptation of a FE hexahedral mesh template for both the bone and soft tissues of the spine through mesh morphing. The SSM deformation fields facilitate the personalization of the mean hexahedral FE model based on sagittal balance measurements. Ultimately, this new hexahedral SSM tool offers a means to generate a virtual cohort of 16807 thoracolumbar FE spine models, which are openly shared in a public repository.","Tue, 20 Feb 2024 14:29:37 UTC (1,367 KB)"
"9","Sedimentation dynamics of triply-twisted Möbius bands: Geometry versus topology","Nicolas Moreno, David Vazquez-Cortes, Eliot Fried","Fluid Dynamics (physics.flu-dyn)","Chiral objects have intrigued scientists across several disciplines, including mathematics, crystallography, chemistry, and biology. A Möbius band, an emblematic chiral structure, can be made by connecting the ends of a strip after applying an odd number of twists. Traditionally, the direction of the twist governs its rotational behaviour during sedimentation in a fluid. Here, we present experimental and computational investigations of triply-twisted Möbius bands boasting threefold rotational symmetry that challenge this prevailing understanding. We explore three types of bands with different curvatures, each defined by its construction method. Experimental observations reveal that all three types of bands align axially and exhibit rotational motion during sedimentation. Surprisingly, for only one type of band the spinning direction (chiral hydrodynamic response) departs from expectations; it is not solely determined by the twist direction but changes with the aspect ratio of the band. Numerical simulations corroborate this observation, and an in-depth analysis of the resistance tensors of each type of band sheds light on the possible causes of this transition. We propose that modifications in fluid-induced drag, combined with inertial effects, underpin this phenomenon. Our study challenges existing knowledge of chiral object hydrodynamics, enriching our understanding of complex fluid dynamics. Moreover, it offers transformative potential across diverse fields, promising advancements in mixing, separation processes, and innovative passive swimmers.","Tue, 20 Feb 2024 13:59:40 UTC (10,147 KB)"
"10","Field-extension statistics of charged semiflexible polymers stretched with uniform electric fields","Ananya Mondal, Greg Morrison","Soft Condensed Matter (cond-mat.soft)","Single-molecule force-extension experiments have allowed quantitative measurements of the mechanical responses of biomolecules to applied forces explaining their roles in key biological functions. Electrophoretic stretching of charged polymers such as DNA in uniform electric fields is one such example, currently, used for sequencing purposes. Field-extension statistics of charged polymers differ from laser optical tweezer setups due to a non-uniform tension along the backbone of the chain, the effects of which remain poorly understood. In this paper, we modify an existing analytically tractable mean-field (MF) approach to account for the heterogeneity in tension for electric fields. Naively using this model for stretching of charged polymers such as DNA under electric fields results in local overstretching of the chain and gives inaccurate field-extension statistics. We improve this approach and account for the inhomogeneity in the tension by subdividing the chain into smaller segments while imposing the inextensibility of the chain. We find that the subdivided MF model shows better agreement with the simulations for the force-extension plots. We also show that using an isotropic mean-field model overestimates the longitudinal fluctuations both for tension forces as well as for fields. We correct the quantitative predictions for the fluctuations in the mean extension by numerically differentiating the field-extension plots. We also find that the subdivided MF model can accurately predict the statistics of experimentally relevant quantities, such as transverse fluctuations, due to the analytical tractability of the model. These field-extension predictions may be further used to introduce confinement effects in the subdivided MF model and develop a comprehensive understanding of sequencing technologies.","Mon, 19 Feb 2024 19:17:30 UTC (5,288 KB)"
