"","title","author","subject","abstract","meta"
"1","Operator Learning Renormalization Group","Xiu-Zhe Luo, Di Luo, Roger G. Melko","Quantum Physics (quant-ph)","In this paper, we present a general framework for quantum many-body simulations called the operator learning renormalization group (OLRG). Inspired by machine learning perspectives, OLRG is a generalization of Wilson's numerical renormalization group and White's density matrix renormalization group, which recursively builds a simulatable system to approximate a target system of the same number of sites via operator maps. OLRG uses a loss function to minimize the error of a target property directly by learning the operator map in lieu of a state ansatz. This loss function is designed by a scaling consistency condition that also provides a provable bound for real-time evolution. We implement two versions of the operator maps for classical and quantum simulations. The former, which we call the Operator Matrix Map, can be implemented via neural networks on classical computers. The latter, which we call the Hamiltonian Expression Map, generates device pulse sequences to leverage the capabilities of quantum computing hardware. We illustrate the performance of both maps for calculating time-dependent quantities in the quantum Ising model Hamiltonian.","Tue, 5 Mar 2024 18:37:37 UTC (4,196 KB)"
"2","Hybrid data assimilation techniques using the adjoint method in a coupled Lorenz system","Philip David Kennedy, Abhirup Banerjee, Armin Köhl, Detlef Stammer","Atmospheric and Oceanic Physics (physics.ao-ph)","A hybrid 4D-variational data assimilation method for numerical climate models is introduced using the Lorenz '63 model. This new approach has the potential to optimise a high complexity Earth system model (ESM) by utilising the adjoint equations of an intermediate complexity ESM. The method is conceptually demonstrated by consecutively synchronising two Lorenz '63 systems to observations before optimisation. The first represents a 'high complexity' model and the second an 'intermediate complexity' model which has adjoint equations. This method will save computational power for a full ESM and has negligible error and uncertainty change compared to the optimisation of a single model with adjoint equations. A similar setup can be applied to sparse observations. An alternative assimilation setup, with two identical models, is used to filter noisy data. This reduces optimised parametric model uncertainty by approximately one third. Such a precision gain could prove valuable for seasonal, annual, and decadal predictions.","Tue, 5 Mar 2024 17:58:32 UTC (1,751 KB)"
"3","Soliton Frequency Combs in Elastomer Membrane-Cavity Optomechanics","Sasan Rahmanian, Hamza Mouharrar, Amin Alibakhshi, Zeeshan Iqbal, Luis Saucedo-Mora, Francisco Javier Montans, Jan Awrejcewicz","Optics (physics.optics)","Solitons, arising from nonlinear wave-matter interactions, stand out for their intrinsic stability during wave propagation and exceptional spectral characteristics1. Their applications span diverse physical systems, including telecommunications, atomic clocks, and precise measurements. In recent years, significant strides have been made in developing cavity-optomechanics based approaches to generate optical frequency combs (FCs). In this study, we present an innovative approach, never explored before, that leverages elastomer membrane (EM)-cavity optomechanics to achieve the generation of soliton FCs, a highly sought-after phenomenon in the realm of nonlinear wave-matter interactions. Our method represents a significant breakthrough due to its streamlined simplicity, relying on a single continuous-wave (CW) laser pump and an externally applied acoustic wave exciting an EM-cavity, which gives rise to phonons, quantized vibrational energy states intrinsic to the elastomer's crystalline lattice structure. The mechanical resonator and electromagnetic cavity resonance are parametrically coupled within the microwave frequency range, collectively orchestrate the process of soliton FCs formation with remarkable efficiency. Numerical simulations and experimental observations demonstrate the emergence of multiple stable localized opto-mechanical wave packets, characterized by a narrow pulses time-domain response. Crucially, by setting the acoustic wave frequency to match the natural frequency of the EM resonator, the solitons' teeth are precisely spaced, and the EM's motion is significantly amplified, giving rise to a Kerr medium. The successful realization of optomechanical stable solitons represents a monumental advancement with transformative potential across various fields, including quantum computing and spectroscopy.","Tue, 5 Mar 2024 17:54:03 UTC (2,088 KB)"
"4","Quantum Many-Body Physics Calculations with Large Language Models","Haining Pan, Nayantara Mudur, Will Taranto, Maria Tikhanovskaya, Subhashini Venugopalan, Yasaman Bahri, Michael P. Brenner, Eun-Ah Kim","Computational Physics (physics.comp-ph)","Large language models (LLMs) have demonstrated an unprecedented ability to perform complex tasks in multiple domains, including mathematical and scientific reasoning. We demonstrate that with carefully designed prompts, LLMs can accurately carry out key calculations in research papers in theoretical physics. We focus on a broadly used approximation method in quantum physics: the Hartree-Fock method, requiring an analytic multi-step calculation deriving approximate Hamiltonian and corresponding self-consistency equations. To carry out the calculations using LLMs, we design multi-step prompt templates that break down the analytic calculation into standardized steps with placeholders for problem-specific information. We evaluate GPT-4's performance in executing the calculation for 15 research papers from the past decade, demonstrating that, with correction of intermediate steps, it can correctly derive the final Hartree-Fock Hamiltonian in 13 cases and makes minor errors in 2 cases. Aggregating across all research papers, we find an average score of 87.5 (out of 100) on the execution of individual calculation steps. Overall, the requisite skill for doing these calculations is at the graduate level in quantum condensed matter theory. We further use LLMs to mitigate the two primary bottlenecks in this evaluation process: (i) extracting information from papers to fill in templates and (ii) automatic scoring of the calculation steps, demonstrating good results in both cases. The strong performance is the first step for developing algorithms that automatically explore theoretical hypotheses at an unprecedented scale.","Tue, 5 Mar 2024 17:47:22 UTC (4,051 KB)"
"5","Using Smartphones to Study Vaccination Decisions in the Wild","Nicolò Alessandro Girardini, Arkadiusz Stopczynski, Olga Baranov, Cornelia Betsch, Dirk Brockmann, Sune Lehmann, Robert Böhm","Physics and Society (physics.soc-ph)","One of the most important tools available to limit the spread and impact of infectious diseases is vaccination. It is therefore important to understand what factors determine people's vaccination decisions. To this end, previous behavioural research made use of, (i) controlled but often abstract or hypothetical studies (e.g., vignettes) or, (ii) realistic but typically less flexible studies that make it difficult to understand individual decision processes (e.g., clinical trials). Combining the best of these approaches, we propose integrating real-world Bluetooth contacts via smartphones in several rounds of a game scenario, as a novel methodology to study vaccination decisions and disease spread. In our 12-week proof-of-concept study conducted with $N$ = 494 students, we found that participants strongly responded to some of the information provided to them during or after each decision round, particularly those related to their individual health outcomes. In contrast, information related to others' decisions and outcomes (e.g., the number of vaccinated or infected individuals) appeared to be less important. We discuss the potential of this novel method and point to fruitful areas for future research.","Tue, 5 Mar 2024 17:27:05 UTC (435 KB)"
"6","Fast and robust method for screened Poisson lattice Green's function using asymptotic expansion and Fast Fourier Transform","Wei Hou, Tim Colonius","Numerical Analysis (math.NA)","We study the lattice Green's function (LGF) of the screened Poisson equation on a two-dimensional rectangular lattice. This LGF arises in numerical analysis, random walks, solid-state physics, and other fields. Its defining characteristic is the screening term, which defines different regimes. When its coefficient is large, we can accurately approximate the LGF with an exponentially converging asymptotic expansion, and its convergence rate monotonically increases with the coefficient of the screening term. To tabulate the LGF when the coefficient is not large, we derive a one-dimensional integral representation of the LGF. We show that the trapezoidal rule can approximate this integral with exponential convergence, and we propose an efficient algorithm for its evaluation via the Fast Fourier Transform. We discuss applications including computing the LGF of the three-dimensional Poisson equation with one periodic direction and the return probability of a two-dimensional random walk with killing.","Tue, 5 Mar 2024 16:01:28 UTC (339 KB)"
"7","Enhancing single-atom loading in tightly confined dipole traps with ancillary dipole beam","Guang-Jie Chen, Zhu-Bo Wang, Chenyue Gu, Dong Zhao, Ji-Zhe Zhang, Yan-Lei Zhang, Chun-Hua Dong, Kun Huang, Guang-Can Guo, Chang-Ling Zou","Quantum Physics (quant-ph)","Single atoms trapped in tightly focused optical dipole traps provide an excellent experimental platform for quantum computing, precision measurement, and fundamental physics research. In this work, we propose and demonstrate a novel approach to enhancing the loading of single atoms by introducing a weak ancillary dipole beam. The loading rate of single atoms in a dipole trap can be significantly improved by only a few tens of microwatts of counter-propagating beam. It was also demonstrated that multiple atoms could be loaded with the assistance of a counter-propagating beam. By reducing the power requirements for trapping single atoms and enabling the trapping of multiple atoms, our method facilitates the extension of single-atom arrays and the investigation of collective light-atom interactions.","Tue, 5 Mar 2024 15:57:11 UTC (901 KB)"
"8","Interannual Magneto-Coriolis modes and their sensitivity on the magnetic field within the Earth's core","Felix Gerick, Phil Livermore","Geophysics (physics.geo-ph)","Linear modes for which the Coriolis acceleration is almost entirely in balance with the Lorentz force are called Magneto-Coriolis (MC) modes. These MC modes are thought to exist in Earth's liquid outer core and could therefore contribute to the variations observed in Earth's magnetic field. The background state on which these waves ride is assumed here to be static and defined by a prescribed magnetic field and zero flow. We introduce a new computational tool to efficiently compute solutions to the related eigenvalue problem, and study the affect of a range of both axisymmetric and non-axisymmetric background magnetic fields on the MC modes. We focus on a hierarchy of conditions that sequentially partition the numerous computed modes into those which are in principle observable, those which match a proxy for interannual geomagnetic signal over 1999-2023, and those which align with core-flows based on recent geomagnetic data. We found that the background field plays a crucial role in modal structure. In particular, we found no examples of axisymmetric background fields that support modes consistent with recent geomagnetic changes, but that some non-axisymmetric background fields do support consistent modes.","Tue, 5 Mar 2024 14:47:02 UTC (21,476 KB)"
"9","Deterministic preparation of a dual-species two-ion crystal","Maximilian J. Zawierucha, Till Rehmert, Jonas Keller, Tanja E. Mehlstäubler, Piet O. Schmidt, Fabian Wolf","Atomic Physics (physics.atom-ph)","The demand for efficient preparation methods for dual-species ion crystals is rapidly expanding across quantum technology and fundamental physics applications with trapped ions. We present a deterministic and efficient technique to produce such crystals, utilizing the segmented structure of a linear Paul trap. By precisely tailoring the trapping potentials, we can split, move, and discard parts of an ion chain. This process is automated in a sequence that converts a larger ion sample into the desired configuration. A critical component of our approach is the accurate identification of crystal constituents. This is achieved by matching the measured positions of fluorescing ions against theoretical expectations for larger crystals, thus facilitating the detection of non-fluorescing ions and enabling accurate ion counting. We demonstrate that our method reliably produces two-ion crystals within minutes. These results represent a significant advance in the production of two-species ion crystals with applications ranging from quantum logic spectroscopy and optical clocks to quantum computing and simulation with trapped ions.","Tue, 5 Mar 2024 14:45:05 UTC (2,829 KB)"
"10","Quantum for Good and the Societal Impact of Quantum Computing","Matthias Troyer, Emily Violi Benjamin, Ani Gevorkian","Physics and Society (physics.soc-ph)","Quantum computing promises to help humanity solve problems that would otherwise be intractable on classical computers. Unlike today's machines, quantum computers use a novel computing process that leverages the foundational quantum mechanical laws of nature. This unlocks unparalleled compute power for certain applications and promises to help solve some of our generation's gravest challenges, including the climate crisis, food insecurity, and widespread disease. No one entity will be able to realize this end state alone. Developing a fault-tolerant quantum supercomputer and a vibrant ecosystem around it will require deep partnerships between industry, governments, and academia. It will also require collective action to enable and promote positive applications of quantum computing and ensure that the safe and responsible use of the technology is at the center of its development and deployment. Achieving these objectives will require focusing on three priorities: 1. Impact. Ensure quantum computing benefits all of humankind by developing quantum solutions to solve critical, global problems. 2. Use. Protect against malicious use by accelerating the deployment of quantum-safe cryptography and developing governance processes and controls for the responsible use of quantum machines. 3. Access. Democratize the potential for economic growth across all of society through skilling, workforce and ecosystem development, and digital infrastructure. This paper discusses each in turn.","Tue, 5 Mar 2024 12:38:21 UTC (9,833 KB)"
